isin	wkn	name	fundProvider	legalStructure	quote	quote52Low	quote52High	ytdReturnCUR	totalExpenseRatio	fiveYearVolatilityCUR	fiveYearReturnPerRiskCUR	yearVolatilityCUR	distributionPolicy	fundCurrency	yearDividendYield	threeMonthReturnCUR	monthReturnCUR	sixMonthReturnCUR	inceptionDate	threeYearVolatilityCUR	yearReturnPerRiskCUR	yearReturn2CUR	yearReturn4CUR	replicationMethod	hasSecuritiesLending	ticker	yearReturnCUR	threeYearReturnPerRiskCUR	domicileCountry	threeYearReturnCUR	valorNumber	currentDividendYield	yearReturn3CUR	fiveYearReturnCUR	weekReturnCUR	yearReturn1CUR	quoteMarket	quoteDate	labels	replicationStrategy	fundStructure	distributionFrequency	currencyRisk	fiscalYearEnd	UCITSCompliance	revisionCompany	indexType	securitiesLending	top10Holdings	exposureCountry_Netherlands	exposureCountry_United Kingdom	exposureCountry_Luxembourg	exposureCountry_Other	exposureSector_Technology	exposureSector_Consumer Staples	exposureSector_Industrials	exposureSector_Consumer Discretionary	exposureSector_Other	fundSizeMillions	exposureCountry_Belgium	exposureCountry_France	exposureSector_Financials	exposureSector_Basic Materials	exposureSector_Real Estate	exposureCountry_Austria	exposureSector_Utilities	exposureSector_Energy	exposureCountry_Serbia	exposureCountry_Romania	exposureSector_Health Care	exposureCountry_China	exposureCountry_Mexico	exposureCountry_Indonesia	exposureCountry_Saudi Arabia	exposureCountry_United Arab Emirates	exposureCountry_Malaysia	exposureCountry_South Korea	exposureCountry_Brazil	exposureCountry_Israel	exposureCountry_South Africa	exposureCountry_Qatar	exposureCountry_Uruguay	exposureCountry_Dominican Republic	exposureCountry_Italy	exposureCountry_Germany	exposureCountry_Spain	exposureCountry_United States	exposureSector_Telecommunication	exposureCountry_Japan	exposureCountry_Canada	exposureCountry_Australia	exposureCountry_Ireland	exposureCountry_Cayman Islands	exposureCountry_Hong Kong	exposureCountry_Bermuda	exposureCountry_Liberia	exposureCountry_Hungary	exposureCountry_Switzerland	exposureCountry_Singapore	exposureCountry_Taiwan	exposureCountry_Croatia	exposureCountry_New Zealand	exposureCountry_India	exposureCountry_Norway	exposureCountry_Finland	exposureCountry_Denmark	exposureCountry_Sweden	exposureCountry_country-gg	exposureCountry_Jersey	exposureCountry_Greece	exposureCountry_Chile	exposureCountry_Oman	exposureCountry_Philippines	exposureCountry_Ivory Coast	exposureCountry_Portugal	exposureCountry_Turkey	exposureCountry_Thailand	exposureCountry_Poland	exposureCountry_Argentina	exposureCountry_Macedonia	exposureCountry_Peru	exposureCountry_Russia	exposureCountry_Cyprus	exposureCountry_Colombia	exposureCountry_Czech Republic	exposureCountry_Slovakia	exposureCountry_Slovenia	exposureCountry_Bulgaria
IE00B0M62Y33	A0HGWF	iShares AEX UCITS ETF	iShares	ETF	73.98	62.81	76.92	0.0541	0.003	0.187	0.46	0.1879	Distributing	EUR	0.02	0.0415	-0.0488	0.1006	11/18/05	0.1965	0.18	0.2989	0.2755	Full replication	Yes	IUSJ	0.0336	1.07	Ireland	0.7749	2308837	0.0198	0.0514	0.5113	-0.0037	-0.1178	Last	3/21/23	'AEX®', 'Equity', 'Netherlands'	Physical(Full replication)	Open-ended Investment Company (OEIC)	Quarterly	Currency unhedged	28-Feb	Yes	Deloitte	Total return index	Yes	'ASML HOLDING ORD', 'UNILEVER PLC', 'SHELL PLC', 'PROSUS NV ORD', 'RELX PLC', 'ING GRP. NV', 'ADYEN NV ORD', 'KONINKLIJKE AHOLD DELHAIZE N.V.', 'WOLTERS KLUWER N.V.', 'HEINEKEN NV'	0.6241	0.3494	0.0167	0.0098	0.2394	0.2164	0.1289	0.0777	0.3376	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IE00BMTX2B82	A2P9XA	iShares AEX UCITS ETF EUR (Acc)	iShares	ETF	6.68	5.8	7.13	0.0503	0.003			0.1906	Accumulating	EUR		0.0341	-0.0552	0.0915	7/29/20		0.22	0.2991		Full replication	Yes	AYE7	0.0421		Ireland		56145411				-0.0277	-0.1179	NAV	3/17/23	'AEX®', 'Equity', 'Netherlands'	Physical(Full replication)	Open-ended Investment Company (OEIC)		Currency unhedged	28-Feb	Yes	Deloitte		Yes	'ASML HOLDING ORD', 'UNILEVER PLC', 'SHELL PLC', 'PROSUS NV ORD', 'RELX PLC', 'ING GRP. NV', 'ADYEN NV ORD', 'KONINKLIJKE AHOLD DELHAIZE N.V.', 'WOLTERS KLUWER N.V.', 'HEINEKEN NV'	0.6241	0.3494	0.0167	0.0098	0.2394	0.2164	0.1289	0.0777	0.3376	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NL0009272749	A1JN2C	VanEck AEX UCITS ETF	VanEck	ETF	72.34	63.16	77.27	0.051	0.003	0.1877	0.47	0.1898	Distributing	EUR	0.023	0.0345	-0.0544	0.092	12/14/09	0.2005	0.24	0.3017	0.2804	Full replication	No	2TCA	0.0453	1.1	Netherlands	0.8154		0.0228	0.0536	0.5238	-0.0277	-0.1162	NAV	3/17/23	'AEX®', 'Equity', 'Netherlands'	Physical(Full replication)	other	Quarterly	Currency unhedged	31-Dec	Yes	KPMG Accountants N.V.	Total return index	No	'UNILEVER PLC', 'ASML HOLDING ORD', 'SHELL PLC', 'PROSUS NV ORD', 'RELX PLC', 'ING GRP. NV', 'ADYEN NV ORD', 'KONINKLIJKE AHOLD DELHAIZE N.V.', 'WOLTERS KLUWER N.V.', 'HEINEKEN NV'	0.6057	0.371	0.0156	0.0077	0.2378	0.2178	0.1299	0.0815	0.333	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IE000RN036E0	A3DGK2	First Trust Alerian Disruptive Technology Real Estate UCITS ETF Acc	First Trust	ETF	17.44	17.07	23.8	0.0029	0.006				Accumulating	USD		0.0115	-0.0708	-0.1012	3/31/22					Full replication	No	FTGT			Ireland		117184857				0.0034		XETRA	3/21/23	'Estate', 'Equity', 'World', 'Innovation'	Physical(Full replication)	Open-ended Investment Company (OEIC)		Currency unhedged	31-Dec	Yes	Deloitte	Total return index	No	[]	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IE00BKPTXQ89	A2P4PH	HANetf Alerian Midstream Energy Dividend UCITS ETF	HANetf	ETF	10.7	10.39	13.12	-0.0599	0.004			0.2473	Distributing	USD	0.0505	-0.0445	-0.0908	-0.1214	7/27/20		0.1	0.4645		Swap based Unfunded	No	JMLP	0.0258		Ireland		56293164	0.0516			-0.0331	0.2626	Last	3/21/23	'Dividend', 'Equity', 'America', 'Energy'	Synthetic(Unfunded swap)	Open-ended Investment Company (OEIC)	Quarterly	Currency unhedged	31-Mar	Yes	Ernst and Young	Total return index	No	[]	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH1146882316	A3GVVU	21Shares Algorand ETP	21Shares	ETN	2.14	1.64	9.68	0.3049	0.025			0.8803	Accumulating	USD		0.1889	-0.2438	-0.4185	11/22/21		-0.81			Physically backed	No	ALC0	-0.7128		Switzerland		114688231				0.0388	-0.9014	XETRA	3/21/23	'Algorand', 'Cryptocurrencies'	Physical(Physically backed)	Company With Variable Capital (SICAV)		Currency unhedged		No			No	[]	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB00BNRRF105	A3GY74	CoinShares Physical Staked Algorand	CoinShares	ETN	2.04	1.54	4.38	0.3182	0				Accumulating	USD		0.2012	-0.2537	-0.4064	7/14/22					Physically backed	No	RAND			Jersey						0.0201		XETRA	3/21/23	'Algorand', 'Cryptocurrencies'	Physical(Physically backed)			Currency unhedged		No			No	[]	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE000A3GWNE8	A3GWNE	VanEck Algorand ETN	VanEck	ETN	2.29	1.75	10.15	0.3029	0.015				Accumulating	USD		0.1937	-0.2597	-0.4169	3/24/22					Physically backed	No	VGND			Liechtenstein						0.0364		XETRA	3/21/23	'Algorand', 'Cryptocurrencies'	Physical(Physically backed)			Currency unhedged		No			No	[]	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NL0009272756	A1JPFU	VanEck AMX UCITS ETF	VanEck	ETF	92.64	83.27	108.58	0.0068	0.0035	0.2043	0.26	0.1898	Distributing	EUR	0.027	0.0124	-0.0937	0.0212	12/14/09	0.2021	-0.37	0.1815	0.4206	Full replication	No	2TCE	-0.0693	0.9	Netherlands	0.6518		0.0301	0.0441	0.2997	-0.058	-0.1158	NAV	3/17/23	'AMX', 'Equity', 'Netherlands', 'Cap'	Physical(Full replication)	other	Quarterly	Currency unhedged	31-Dec	Yes	KPMG Accountants N.V.	Total return index	No	'ASR NEDERLAND N.V', 'ABN AMRO GRP. N.V.', 'WDP-SICAFI REIT', 'AALBERTS INDUSTRIES N.V.', 'JUST EAT TAKEAWAY.COM NV', 'OCI N.V.', 'JDE PEETS ORD', 'ARCADIS NV', 'AIR FRANCE - KLM', 'SBM OFFSHORE ORD'	0.7628	0	0.0562	0	0	0	0.3279	0	0.2578	23	0.1202	0.0387	0.1919	0.1393	0.0831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE000A3GYNY2	A3GYNY	DDA Physical ApeCoin ETP	Deutsche Digital Assets	ETN	3.81	2.75	7.24	0.1424	0.0149				Accumulating	USD		0.1631	-0.291	-0.3304	5/26/22					Physically backed	No	IAPE			Liechtenstein						-0.0723		Last	3/21/23	'ApeCoin', 'Cryptocurrencies'	Physical(Physically backed)			Currency unhedged		No			No	[]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
